,clust,correct,position,list_num,subj,sess,serial_pos,hfa_short,hfa_long,ripple_exists_short,ripple_avg_short,ripple_exists_long,ripple_avg_long
0,0.0,1.0,"[10, 3]",1,R1015J,R1015J-0,3,-1.8550601810846907,-1.5969725988960015,0.0,0.0,0.0,0.0
1,0.0,1.0,"[10, 3]",1,R1015J,R1015J-0,10,-1.6748410174736763,-0.6028999354663639,0.0,0.0,1.0,0.25
2,0.0,1.0,[1],2,R1015J,R1015J-0,1,0.39153876483713224,-0.6678876851086657,1.0,0.25,1.0,0.5
3,0.0,1.0,"[1, 4, -999]",3,R1015J,R1015J-0,1,0.15324603638058037,-0.14748786021848326,1.0,0.25,1.0,0.25
4,0.0,1.0,"[9, 11, 10]",5,R1015J,R1015J-0,9,-0.18210404524596535,0.3831446347696428,1.0,0.25,1.0,0.25
5,0.0,2.0,"[9, 11, 10]",5,R1015J,R1015J-0,10,2.1273643844758405,1.0349174957435068,0.0,0.0,0.0,0.0
6,0.0,1.0,"[8, 2, -999]",6,R1015J,R1015J-0,8,0.5938096782930635,0.6427979348048733,1.0,0.25,1.0,0.5
7,0.0,1.0,[2],7,R1015J,R1015J-0,2,-2.0034890023132883,-0.8118315937351308,0.0,0.0,0.0,0.0
8,0.0,1.0,[1],8,R1015J,R1015J-0,1,1.7434457398672099,0.4180016344029228,1.0,0.25,1.0,0.25
9,0.0,2.0,"[6, 2, 1]",9,R1015J,R1015J-0,1,0.23185817455142882,-0.501820471815071,0.0,0.0,0.0,0.0
10,1.0,1.0,"[6, 2, 1]",9,R1015J,R1015J-0,2,1.2831325070902713,0.907021278696463,1.0,0.25,1.0,0.75
11,0.0,1.0,"[6, 2, 1]",9,R1015J,R1015J-0,6,0.6377385865732345,0.7943014779106662,1.0,0.25,1.0,0.5
12,0.0,2.0,"[2, 1, 12, 7]",1,R1024E,R1024E-0,1,-1.2784275519742312,-0.5047324438040208,0.0,0.0,0.0,0.0
13,1.0,1.0,"[2, 1, 12, 7]",1,R1024E,R1024E-0,2,0.4429885115103742,-1.0472810601674094,0.0,0.0,0.0,0.0
14,0.0,1.0,"[2, 1, 12, 7]",1,R1024E,R1024E-0,7,2.623871531131775,0.8437558317200958,0.0,0.0,0.0,0.0
15,0.0,1.0,"[2, 1, 12, 7]",1,R1024E,R1024E-0,12,0.18950857762338713,-0.3542874859837072,1.0,1.0,1.0,1.0
16,1.0,1.0,"[1, 9, 11, 12, 8, 7]",2,R1024E,R1024E-0,1,1.3090689345490472,-0.018048814287894465,0.0,0.0,0.0,0.0
17,0.0,2.0,"[1, 9, 11, 12, 8, 7]",2,R1024E,R1024E-0,7,-0.7852475102962261,-0.580041475577233,0.0,0.0,0.0,0.0
18,1.0,1.0,"[1, 9, 11, 12, 8, 7]",2,R1024E,R1024E-0,8,-3.834315326053142,-2.731140966589959,0.0,0.0,0.0,0.0
