,clust,correct,position,list_num,subj,sess,serial_pos,hfa_short,hfa_long,ripple_exists_short,ripple_avg_short,ripple_exists_long,ripple_avg_long
0,0.0,1.0,"[10, 3]",1,R1015J,R1015J-0,3,-1.0324859664473767,-1.937309634190889,0.0,0.0,0.0,0.0
1,0.0,1.0,"[10, 3]",1,R1015J,R1015J-0,10,-2.3292817997622812,0.002024510661321299,0.0,0.0,1.0,1.0
2,0.0,1.0,[1],2,R1015J,R1015J-0,1,-1.213422626176616,-3.4341803355807428,0.0,0.0,0.0,0.0
3,0.0,1.0,"[1, 4, -999]",3,R1015J,R1015J-0,1,-3.61536130211968,-1.464432877651878,0.0,0.0,0.0,0.0
4,0.0,1.0,"[9, 11, 10]",5,R1015J,R1015J-0,9,-0.7299029081888757,-0.419866121792429,0.0,0.0,0.0,0.0
5,0.0,2.0,"[9, 11, 10]",5,R1015J,R1015J-0,10,3.4636329829931993,1.0872089873043742,1.0,1.0,1.0,1.0
6,0.0,1.0,"[8, 2, -999]",6,R1015J,R1015J-0,8,0.1900681117009178,0.7132879172655839,0.0,0.0,0.0,0.0
7,0.0,1.0,[2],7,R1015J,R1015J-0,2,-3.2878666013630755,-0.18943732346084455,0.0,0.0,0.0,0.0
8,0.0,1.0,[1],8,R1015J,R1015J-0,1,0.6882475006179722,-0.14046767518988307,1.0,1.0,1.0,1.0
9,0.0,2.0,"[6, 2, 1]",9,R1015J,R1015J-0,1,0.4078377897034363,-0.5085006833542973,0.0,0.0,0.0,0.0
10,1.0,1.0,"[6, 2, 1]",9,R1015J,R1015J-0,2,1.8833156865068783,1.366227851856284,0.0,0.0,0.0,0.0
11,0.0,1.0,"[6, 2, 1]",9,R1015J,R1015J-0,6,1.559915894857666,0.5414791791573814,0.0,0.0,0.0,0.0
12,0.0,2.0,"[2, 1, 12, 7]",1,R1024E,R1024E-0,1,-2.3147949873133564,-0.5533140144157057,0.0,0.0,0.0,0.0
13,1.0,1.0,"[2, 1, 12, 7]",1,R1024E,R1024E-0,2,1.2049284348576061,0.7656059159354256,0.0,0.0,1.0,1.0
14,0.0,1.0,"[2, 1, 12, 7]",1,R1024E,R1024E-0,7,-0.0065637069141890984,-0.08666982915198788,0.0,0.0,0.0,0.0
15,0.0,1.0,"[2, 1, 12, 7]",1,R1024E,R1024E-0,12,-1.523072966549358,-1.7222136062680018,0.0,0.0,0.0,0.0
16,1.0,1.0,"[1, 9, 11, 12, 8, 7]",2,R1024E,R1024E-0,1,0.19324725113580868,1.1658943923532668,0.0,0.0,0.0,0.0
